Position,Const,Created,Modified,Description,Title,Title type,Directors,You rated,IMDb Rating,Runtime (mins),Year,Genres,Num. Votes,Release Date (month/day/year),URL
33,,,,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby.",Storks,,"Nicholas Stoller, Doug Sweetland",,6.9,,2016,"Animation, Adventure, Comedy",,,
34,,,,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,The Finest Hours,,Craig Gillespie,,6.8,,2016,"Action, Drama, History",,,
35,,,,"The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon.",Pete’s Dragon,,David Lowery,,6.8,,2016,"Adventure, Family, Fantasy",,,
36,,,,"Shan, a mermaid, is sent to assassinate Xuan, a developer who threatens the ecosystem of her race, but ends up falling in love with him instead.",Mei Ren Yu,,Stephen Chow,,6.3,,2016,"Comedy, Drama, Fantasy",,,
37,,,,"The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.",Sully,,Clint Eastwood,,7.5,,2016,"Biography, Drama",,,
38,,,,"In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.",London Has Fallen,,Babak Najafi,,5.9,,2016,"Action, Crime, Drama",,,
39,,,,"When a travelling monk is stranded in a wasteland, The Monkey King must escort him across the land to retrieve sacred scriptures and protect him from an evil demon.",Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,,Pou-Soi Cheang,,5.9,,2016,"Action, Adventure, Fantasy",,,
40,,,,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.,Deadpool,,Tim Miller,,8.1,,2016,"Action, Adventure, Comedy",,,
41,,,,"In an ancient world where monsters rule the land while humans keep to their own kingdom, a baby monster, Wuba, is born to a human father and monster queen. When mortals and creatures alike set out to capture the newborn, Wuba's adventure begins. The cute baby monster Huba is the child of a human man and a monster queen, threatened by both monster-hating humans and monsters attempting to capture the new-born in an ancient world based on medieval China.",Monster Hunt,,Raman Hui,,6.2,,2016,"Animation, Action, Adventure",,,
42,,,,A young boy named Kubo must locate a magical suit of armor worn by his late father in order to defeat a vengeful spirit from the past.,Kubo and the Two Strings,,Travis Knight,,7.9,,2016,"Animation, Adventure, Family",,,
